file, real_x, real_y, real_z, detected_x, detected_y, detected_z
6.jpg,-300,-200,27,93.9124353860224,-109.0405100500514,547.8570859824199
7.jpg,-300,-200,27,93.9124353860224,-109.0405100500514,547.8570859824199
8.jpg,-300,-200,27,93.9124353860224,-109.0405100500514,547.8570859824199
21.jpg,-100,-200,27,-84.15659516820487,-127.03620760889032,620.1725212538731
22.jpg,-100,-200,27,-84.15659516820487,-127.03620760889032,620.1725212538731
25.jpg,-100,-200,27,-80.49127215993902,-121.43059834031625,592.5221135764069
26.jpg,-100,-200,27,-80.49127215993902,-121.43059834031625,592.5221135764069
28.jpg,-100,-200,27,-80.49127215993902,-121.43059834031625,592.5221135764069
29.jpg,-100,-200,27,-80.49127215993902,-121.43059834031625,592.5221135764069
6.jpg,-300,-200,27,93.9124353860224,-109.0405100500514,547.8570859824199
7.jpg,-300,-200,27,93.9124353860224,-109.0405100500514,547.8570859824199
8.jpg,-300,-200,27,93.9124353860224,-109.0405100500514,547.8570859824199
21.jpg,-100,-200,27,-84.15659516820487,-127.03620760889032,620.1725212538731
22.jpg,-100,-200,27,-84.15659516820487,-127.03620760889032,620.1725212538731
25.jpg,-100,-200,27,-80.49127215993902,-121.43059834031625,592.5221135764069
26.jpg,-100,-200,27,-80.49127215993902,-121.43059834031625,592.5221135764069
28.jpg,-100,-200,27,-80.49127215993902,-121.43059834031625,592.5221135764069
29.jpg,-100,-200,27,-80.49127215993902,-121.43059834031625,592.5221135764069
30.jpg,0,-200,27,-193.02909426720075,-130.14189436017057,607.8937393514274
31.jpg,0,-200,27,-193.02909426720075,-130.14189436017057,607.8937393514274
32.jpg,0,-200,27,-193.02909426720075,-130.14189436017057,607.8937393514274
33.jpg,0,-200,27,-193.02909426720075,-130.14189436017057,607.8937393514274
34.jpg,0,-200,27,-193.02909426720075,-130.14189436017057,607.8937393514274
35.jpg,0,-200,27,-193.02909426720075,-130.14189436017057,607.8937393514274
36.jpg,0,-200,27,-193.02909426720075,-130.14189436017057,607.8937393514274
37.jpg,0,-200,27,-188.62317210235602,-126.76803425075774,593.9873130973415
38.jpg,0,-200,27,-188.62317210235602,-126.76803425075774,593.9873130973415
39.jpg,0,-200,27,-181.49355369462464,-121.45408915533068,568.5126447831707
40.jpg,100,-200,27,-247.39143775642805,-106.15631222838252,468.4411909934866
41.jpg,100,-200,27,-247.39143775642805,-106.15631222838252,468.4411909934866
44.jpg,100,-200,27,-247.39143775642805,-106.15631222838252,468.4411909934866
45.jpg,100,-200,27,-247.39143775642805,-106.15631222838252,468.4411909934866
47.jpg,100,-200,27,-247.39143775642805,-106.15631222838252,468.4411909934866
48.jpg,100,-200,27,-247.39143775642805,-106.15631222838252,468.4411909934866
49.jpg,100,-200,27,-247.39143775642805,-106.15631222838252,468.4411909934866
70.jpg,-300,-100,27,104.02627346197454,-67.50994619798186,532.6759167896926
73.jpg,-300,-100,27,103.53496525077746,-67.3470949089485,531.5822461432075
74.jpg,-300,-100,27,96.17228688292683,-64.9165649343257,501.93927517614884
75.jpg,-300,-100,27,99.86092525413922,-67.1641924271588,521.9942699591343
76.jpg,-300,-100,27,99.86092525413922,-67.1641924271588,521.9942699591343
77.jpg,-300,-100,27,100.87895974988413,-66.65503617250508,519.9492116847008
78.jpg,-300,-100,27,102.33218584872846,-67.58540141385745,531.3179820015583
